Time,Club Type,Ball Speed,Club Speed,Smash Factor,Carry,Total,Vertical Launch,Horizontal Launch,Spin Rate,Spin Loft,Side Spin,Lateral,Apex,Angle of Attack,Club Path,Face Angle
2026-05-18T10:00:00,DR,161.4,108.9,1.48,274.1,294.1,12.4,1.1,2222,24.4,-263,2,118,3,1.1,0.4
2026-05-18T10:01:00,DR,161.9,110.7,1.46,259.5,281.5,12.5,-2.7,1764,24.5,67,9.6,99,3,2.5,0.5
2026-05-18T10:02:00,DR,163.4,109.8,1.49,261,284.6,12.6,-0.7,2215,24.6,-241,6.5,103,2.9,1.1,-0.8
2026-05-18T10:03:00,DR,160.4,111.7,1.44,266.6,284.9,13.3,1.1,2275,25.3,-141,2.3,129,2.1,1,-0.7
2026-05-18T10:04:00,DR,159.3,109.2,1.46,274.7,294.3,12.7,0.8,2789,24.7,12,-0.1,97,3.3,0.3,0.8
2026-05-18T10:05:00,DR,161.2,108.9,1.48,276,297.6,15,0.9,1942,27,-289,3.5,112,2.4,1.9,2
2026-05-18T10:00:00,DR,161.1,111.9,1.44,262.4,282.7,15,-0.2,2674,27,-591,6.7,119,1.7,2.5,1.3
2026-05-18T10:01:00,DR,160.6,109.3,1.47,265.4,288.6,13.2,-1.8,2629,25.2,-433,-9.5,116,2.6,2.5,-0.2
2026-05-18T10:02:00,DR,161.1,109.5,1.47,275.2,298.3,13.4,3.6,3066,25.4,-647,-4.5,114,3.8,0.3,-1.9
2026-05-18T10:03:00,DR,161.7,108.8,1.49,266.4,287.8,10.9,-2.3,3197,22.9,-729,-5.4,116,0.2,2.5,2.4
2026-05-18T10:04:00,DR,161.2,108.3,1.49,250.5,273.2,12.2,3.3,2795,24.2,-1049,4.8,115,3.4,-1.3,1.3
2026-05-18T10:05:00,DR,160.9,110.6,1.46,247.3,271.3,12.7,-2.2,2775,24.7,-364,2.5,109,4,3.1,1.7
2026-05-18T10:00:00,DR,164.2,111.1,1.48,261.2,281.7,13.8,-2.5,3206,25.8,125,0.5,116,1.4,2.7,2.2
2026-05-18T10:01:00,DR,160.1,110.8,1.45,266.6,286.7,13.5,1.1,2403,25.5,-474,-3.4,106,2.3,-0.9,-0.7
2026-05-18T10:00:00,3W,149.9,102.9,1.46,235.6,240.1,10.8,0.5,3307,22.8,-43,1.6,106,-2.7,2.5,3.6
2026-05-18T10:01:00,3W,152.7,104,1.47,247.7,254.2,12.6,-4,3792,24.6,-155,-3,113,-2.4,2.2,1.2
2026-05-18T10:02:00,3W,152.8,103.2,1.48,242.8,249.2,11.8,1.3,3668,23.8,-387,8.5,106,-4.7,4.5,1
2026-05-18T10:03:00,3W,151,104,1.45,243.9,247.2,12.4,2.6,3474,24.4,-400,-8.6,114,-4.4,0.1,-1
2026-05-18T10:04:00,3W,152.7,104.9,1.46,241.1,245.1,11.9,0.1,2609,23.9,-255,-7.4,111,-4.8,1.7,-0.9
2026-05-18T10:05:00,3W,149.2,104.6,1.43,238.7,242.5,12.5,0.4,3106,24.5,345,2,107,-3.6,4.1,1.6
2026-05-18T10:00:00,3W,153.4,104.2,1.47,239.8,242.2,12.2,3,2519,24.2,-434,-0.9,114,-2.9,1.7,2.3
2026-05-18T10:01:00,3W,150.5,103.2,1.46,236.6,243.3,11.3,-4.3,3847,23.3,-80,3.2,113,-5,1.8,1.1
2026-05-18T10:02:00,3W,150.9,102.3,1.47,251,257.6,11.7,0.5,3319,23.7,-529,-5.1,134,-1.8,2,-1.1
2026-05-18T10:03:00,3W,149.7,104,1.44,240.2,247.4,11.6,0.9,3104,23.6,-38,-0.4,105,-3.7,1,0.2
2026-05-18T10:04:00,3W,153.2,103.6,1.48,239.1,244.3,11.3,1.1,2793,23.3,-218,4.1,112,-3.9,1.6,0.2
2026-05-18T10:05:00,3W,151.3,101.6,1.49,245.9,254,11,-3,3388,23,-550,2.7,118,-3.6,1.7,-0.4
2026-05-18T10:00:00,4I,124.1,89.9,1.38,189.2,195.8,14,0.8,5226,26,-411,-6.5,112,-3.7,1.6,1
2026-05-18T10:01:00,4I,122,89.8,1.36,190.8,194.3,13.8,0.3,5244,25.8,47,-4.2,120,-1.7,1.9,2.7
2026-05-18T10:02:00,4I,124.8,86.8,1.44,191.6,198.7,14.2,-0.3,4118,26.2,-706,-14.4,110,-4.1,3,0.2
2026-05-18T10:03:00,4I,123.9,87.8,1.41,200.9,206.2,14.2,-2.1,4680,26.2,346,1.8,117,-4.5,3.1,0.9
2026-05-18T10:04:00,4I,122.5,87.6,1.40,197,201.4,13.6,-1,4619,25.6,-414,-7.4,123,-5.8,1.3,0.4
2026-05-18T10:05:00,4I,124.2,90.9,1.37,189,194.6,14.1,1.5,4509,26.1,76,-4.4,134,-4.8,2.1,-0.5
2026-05-18T10:00:00,4I,121.9,89.9,1.36,196.1,199.2,14.8,0.4,5375,26.8,-1036,0.7,104,-2.3,0.9,1
2026-05-18T10:01:00,4I,125,89.6,1.40,183.1,190.7,14.4,1.2,4671,26.4,-292,-1,108,-2.7,2.5,2.2
2026-05-18T10:02:00,4I,122.6,90.4,1.36,186.4,197.1,13,2.8,4744,25,9,-4.2,126,-5.9,2.5,2.3
2026-05-18T10:03:00,4I,128.4,87.8,1.46,207.5,211.3,14,-0.8,5292,26,122,-3.8,101,-4.3,1.2,-1
2026-05-18T10:04:00,4I,122.3,88.9,1.38,195.7,201,14.3,1.2,4584,26.3,-491,5.6,124,-4.2,-1.9,-0.8
2026-05-18T10:05:00,4I,124.9,88.3,1.41,194,194.3,14.4,3.9,5180,26.4,-294,-2.2,100,-3.5,2.9,-0.2
2026-05-18T10:00:00,4I,121.6,90.1,1.35,188.5,194.4,13.2,0.1,4783,25.2,-384,10.7,117,-3.3,0.7,3.4
2026-05-18T10:00:00,5I,118.6,87.4,1.36,167.2,177.2,16.3,-1.7,6766,28.3,-526,1.4,102,-4.8,0.6,2.7
2026-05-18T10:01:00,5I,118.8,84.4,1.41,170,175.3,16.2,-1.3,6626,28.2,-256,-0.9,116,-4.3,1.4,1.2
