Date,Club,Ball Speed,Club Speed,Smash Factor,Carry,Total,Launch Angle,Launch Direction,Back Spin,Side Spin,Peak Height,Descent Angle,Angle of Attack,Club Path,Face Angle
2026-05-18T10:00:00,DR,161.4,108.9,1.48,274.1,294.1,12.4,1.1,2222,-263,118,45.1,3,1.1,0.4
2026-05-18T10:01:00,DR,161.9,110.7,1.46,259.5,281.5,12.5,-2.7,1764,67,99,41,3,2.5,0.5
2026-05-18T10:02:00,DR,163.4,109.8,1.49,261,284.6,12.6,-0.7,2215,-241,103,43.5,2.9,1.1,-0.8
2026-05-18T10:03:00,DR,160.4,111.7,1.44,266.6,284.9,13.3,1.1,2275,-141,129,42.2,2.1,1,-0.7
2026-05-18T10:04:00,DR,159.3,109.2,1.46,274.7,294.3,12.7,0.8,2789,12,97,44.8,3.3,0.3,0.8
2026-05-18T10:05:00,DR,161.2,108.9,1.48,276,297.6,15,0.9,1942,-289,112,42.4,2.4,1.9,2
2026-05-18T10:00:00,DR,161.1,111.9,1.44,262.4,282.7,15,-0.2,2674,-591,119,43.8,1.7,2.5,1.3
2026-05-18T10:01:00,DR,160.6,109.3,1.47,265.4,288.6,13.2,-1.8,2629,-433,116,43.6,2.6,2.5,-0.2
2026-05-18T10:02:00,DR,161.1,109.5,1.47,275.2,298.3,13.4,3.6,3066,-647,114,45.3,3.8,0.3,-1.9
2026-05-18T10:03:00,DR,161.7,108.8,1.49,266.4,287.8,10.9,-2.3,3197,-729,116,41.7,0.2,2.5,2.4
2026-05-18T10:04:00,DR,161.2,108.3,1.49,250.5,273.2,12.2,3.3,2795,-1049,115,43.9,3.4,-1.3,1.3
2026-05-18T10:05:00,DR,160.9,110.6,1.46,247.3,271.3,12.7,-2.2,2775,-364,109,46.4,4,3.1,1.7
2026-05-18T10:00:00,DR,164.2,111.1,1.48,261.2,281.7,13.8,-2.5,3206,125,116,44.8,1.4,2.7,2.2
2026-05-18T10:01:00,DR,160.1,110.8,1.45,266.6,286.7,13.5,1.1,2403,-474,106,47.2,2.3,-0.9,-0.7
2026-05-18T10:00:00,3W,149.9,102.9,1.46,235.6,240.1,10.8,0.5,3307,-43,106,42.3,-2.7,2.5,3.6
2026-05-18T10:01:00,3W,152.7,104,1.47,247.7,254.2,12.6,-4,3792,-155,113,43.2,-2.4,2.2,1.2
2026-05-18T10:02:00,3W,152.8,103.2,1.48,242.8,249.2,11.8,1.3,3668,-387,106,43.8,-4.7,4.5,1
2026-05-18T10:03:00,3W,151,104,1.45,243.9,247.2,12.4,2.6,3474,-400,114,38.3,-4.4,0.1,-1
2026-05-18T10:04:00,3W,152.7,104.9,1.46,241.1,245.1,11.9,0.1,2609,-255,111,41.2,-4.8,1.7,-0.9
2026-05-18T10:05:00,3W,149.2,104.6,1.43,238.7,242.5,12.5,0.4,3106,345,107,44.7,-3.6,4.1,1.6
2026-05-18T10:00:00,3W,153.4,104.2,1.47,239.8,242.2,12.2,3,2519,-434,114,39.3,-2.9,1.7,2.3
