Date,Club Name,Club Type,Ball Speed,Club Head Speed,Smash Factor,Carry Distance,Total Distance,Roll Distance,Launch Angle,Launch Direction,Spin Rate,Spin Axis,Apex Height,Descent Angle
2026-05-18T10:00:00,Driver,Driver,161.4,108.9,1.48,274.1,294.1,20,12.4,1.1,2222,-1.6,118,45.1
2026-05-18T10:01:00,Driver,Driver,161.5,109.8,1.47,272.1,295.3,23.2,12.6,-4.8,2701,7.2,102,46.7
2026-05-18T10:02:00,Driver,Driver,160,108.3,1.48,267.7,289.5,21.8,14,2.8,2161,-4.2,104,45.4
2026-05-18T10:03:00,Driver,Driver,160.4,108.9,1.47,266.2,286.4,20.2,14.3,0,2977,0,113,42.8
2026-05-18T10:04:00,Driver,Driver,162.5,109.8,1.48,257.1,278.7,21.6,15,0.8,2238,-1.2,96,44.6
2026-05-18T10:05:00,Driver,Driver,161,109.5,1.47,289,312.5,23.5,12.5,-3.6,2451,5.4,105,44.6
2026-05-18T10:00:00,Driver,Driver,162,108.6,1.49,260.5,284,23.5,11.9,-2.1,2733,3.2,112,45.9
2026-05-18T10:01:00,Driver,Driver,161.2,108.9,1.48,276,297.6,21.6,15,0.9,1942,-1.3,112,42.4
2026-05-18T10:02:00,Driver,Driver,162.5,111.4,1.46,266.7,291.9,25.2,12.9,0.4,2671,-0.6,122,45.7
2026-05-18T10:03:00,Driver,Driver,161.8,111.3,1.45,259.9,283,23.1,12.7,-1.6,2659,2.4,108,41.7
2026-05-18T10:04:00,Driver,Driver,162.1,109.6,1.48,262.5,285.8,23.3,14.1,0.1,2048,-0.2,111,45.2
2026-05-18T10:05:00,Driver,Driver,161.6,111,1.46,261.9,283.8,21.9,13.1,-1.5,2392,2.3,114,47.1
2026-05-18T10:00:00,Driver,Driver,163.4,111.6,1.46,272.4,294,21.6,11.4,-0.4,2256,0.6,102,46.9
2026-05-18T10:01:00,Driver,Driver,160.7,109.6,1.47,244.5,261.9,17.4,14.3,1.6,2190,-2.4,122,41
2026-05-18T10:00:00,3 Wood,Wood,151.2,102.3,1.48,222.4,229.2,6.8,10.7,3.3,3395,-4.9,113,42.4
2026-05-18T10:01:00,3 Wood,Wood,148.5,104.7,1.42,245,251.9,6.9,9.7,1,2384,-1.5,101,42.8
2026-05-18T10:02:00,3 Wood,Wood,150.3,103.8,1.45,245.9,253.8,7.9,13.5,-0.1,3710,0.2,102,45
2026-05-18T10:03:00,3 Wood,Wood,154.6,104.3,1.48,245.1,252.5,7.4,11.2,1.3,3229,-1.9,99,44
2026-05-18T10:04:00,3 Wood,Wood,154.4,103.8,1.49,248.5,254.6,6.1,12.6,-1.1,2749,1.7,100,43.1
2026-05-18T10:05:00,3 Wood,Wood,154.8,103.7,1.49,233.6,239,5.4,10.9,-2.7,2494,4.1,101,42.6
2026-05-18T10:00:00,3 Wood,Wood,152.4,103.1,1.48,228.2,236.8,8.6,11.8,1.7,3282,-2.5,128,44
2026-05-18T10:01:00,3 Wood,Wood,152.7,104,1.47,247.7,254.2,6.5,12.6,-4,3792,6,113,43.2
2026-05-18T10:02:00,3 Wood,Wood,152.8,104.6,1.46,250.8,255.4,4.6,12.6,2.7,3427,-4.1,107,44.8
2026-05-18T10:03:00,3 Wood,Wood,153,103.7,1.47,239.4,246.2,6.8,11.3,-0.2,3522,0.3,114,40.7
2026-05-18T10:04:00,3 Wood,Wood,153.2,104.5,1.47,238.1,245.6,7.5,10.6,-3.7,2697,5.6,105,39.7
2026-05-18T10:05:00,3 Wood,Wood,151.8,104.5,1.45,227.3,233.1,5.8,12.7,-2.5,3363,3.8,100,42.1
2026-05-18T10:00:00,4 Iron,Iron,123.4,88.1,1.40,195.5,201.7,6.2,13.2,-3.7,4959,5.6,116,44
2026-05-18T10:01:00,4 Iron,Iron,124.5,87.7,1.42,196.1,202.8,6.7,14.4,4.3,4967,-6.4,118,49.1
2026-05-18T10:02:00,4 Iron,Iron,125.4,89.2,1.41,194.3,196.8,2.5,14.7,3,4219,-4.5,118,41.8
2026-05-18T10:03:00,4 Iron,Iron,124.2,90.7,1.37,199.5,204.3,4.8,14.3,3.7,4802,-5.6,106,45.6
2026-05-18T10:04:00,4 Iron,Iron,120.8,89.7,1.35,195.2,202.1,6.9,13.5,1.8,4962,-2.7,125,43
2026-05-18T10:05:00,4 Iron,Iron,124.5,88.6,1.40,184.4,196.8,12.4,14.8,-1.8,4600,2.7,130,45.3
2026-05-18T10:00:00,4 Iron,Iron,123.1,89.3,1.38,184.3,189.5,5.2,14.5,-0.1,4372,0.2,116,45.4
2026-05-18T10:01:00,4 Iron,Iron,123.7,89.3,1.39,190.6,196.8,6.2,14.2,1.6,4757,-2.4,109,42.2
2026-05-18T10:02:00,4 Iron,Iron,125,88.5,1.41,188.6,194.9,6.3,15,0.2,5100,-0.3,109,45.4
2026-05-18T10:03:00,4 Iron,Iron,123.3,86.6,1.42,198.9,207.1,8.2,13.5,-3,5088,4.5,121,43.9
2026-05-18T10:04:00,4 Iron,Iron,124.2,88,1.41,195.4,202.9,7.5,13.9,1.9,4667,-2.8,108,42.3
2026-05-18T10:05:00,4 Iron,Iron,124.6,89.1,1.40,194.6,201.2,6.6,14.8,-0.4,4987,0.6,109,41.9
2026-05-18T10:00:00,4 Iron,Iron,125.5,88.2,1.42,197.2,205.2,8,13.3,4.4,4652,-6.6,130,45.2
2026-05-18T10:00:00,5 Iron,Iron,122,85.7,1.42,176.5,181.8,5.3,15.6,-4.8,6683,7.2,120,47.2
2026-05-18T10:01:00,5 Iron,Iron,118.1,85.8,1.38,164.4,173,8.6,17.1,-0.2,6931,0.3,108,46.2
2026-05-18T10:02:00,5 Iron,Iron,120.5,85.6,1.41,164.3,169.4,5.1,18.2,2.7,6134,-4.1,118,52.1
2026-05-18T10:03:00,5 Iron,Iron,118.5,84.6,1.40,170,174.4,4.4,16.6,-1,6219,1.5,127,49
2026-05-18T10:04:00,5 Iron,Iron,119.7,85.8,1.39,155.2,164.4,9.2,16.8,-2.2,6425,3.3,113,46
2026-05-18T10:05:00,5 Iron,Iron,121.1,89.3,1.36,164.8,169,4.2,16.7,2.8,6731,-4.2,120,44.7
2026-05-18T10:00:00,5 Iron,Iron,122,86.3,1.41,170.3,174.2,3.9,16.1,0.5,6540,-0.7,130,46.5
2026-05-18T10:01:00,5 Iron,Iron,116.6,84,1.39,168.2,174,5.8,18,-0.3,6732,0.5,123,48.7
2026-05-18T10:02:00,5 Iron,Iron,120,87.6,1.37,162.8,166.6,3.8,18.9,-1.9,6798,2.8,126,46.6
2026-05-18T10:03:00,5 Iron,Iron,119,88.8,1.34,157,159.3,2.3,19.3,1.6,6986,-2.4,128,49.9
