Time,Bay,Selected Club,Carry (m),Total (m),Ball Speed (m/s),Launch,Direction
2026-05-18T10:00:00,2026-05-18,Driver,250.6,268.9,72.2,12.4,1.1
2026-05-18T10:01:00,2026-05-18,Driver,248.8,270,72.2,12.6,-4.8
2026-05-18T10:02:00,2026-05-18,Driver,244.8,264.7,71.5,14,2.8
2026-05-18T10:03:00,2026-05-18,Driver,243.4,261.9,71.7,14.3,0
2026-05-18T10:04:00,2026-05-18,Driver,235.1,254.8,72.6,15,0.8
2026-05-18T10:05:00,2026-05-18,Driver,264.3,285.8,72,12.5,-3.6
2026-05-18T10:00:00,2026-05-18,Driver,238.2,259.7,72.4,11.9,-2.1
2026-05-18T10:01:00,2026-05-18,Driver,252.4,272.1,72.1,15,0.9
2026-05-18T10:02:00,2026-05-18,Driver,243.9,266.9,72.6,12.9,0.4
2026-05-18T10:03:00,2026-05-18,Driver,237.7,258.8,72.3,12.7,-1.6
2026-05-18T10:04:00,2026-05-18,Driver,240,261.3,72.5,14.1,0.1
2026-05-18T10:05:00,2026-05-18,Driver,239.5,259.5,72.2,13.1,-1.5
2026-05-18T10:00:00,2026-05-18,Driver,249.1,268.8,73,11.4,-0.4
2026-05-18T10:01:00,2026-05-18,Driver,223.6,239.5,71.8,14.3,1.6
2026-05-18T10:00:00,2026-05-18,3 Wood,203.4,209.6,67.6,10.7,3.3
2026-05-18T10:01:00,2026-05-18,3 Wood,224,230.3,66.4,9.7,1
2026-05-18T10:02:00,2026-05-18,3 Wood,224.9,232.1,67.2,13.5,-0.1
2026-05-18T10:03:00,2026-05-18,3 Wood,224.1,230.9,69.1,11.2,1.3
2026-05-18T10:04:00,2026-05-18,3 Wood,227.2,232.8,69,12.6,-1.1
2026-05-18T10:05:00,2026-05-18,3 Wood,213.6,218.5,69.2,10.9,-2.7
2026-05-18T10:00:00,2026-05-18,3 Wood,208.7,216.5,68.1,11.8,1.7
2026-05-18T10:01:00,2026-05-18,3 Wood,226.5,232.4,68.3,12.6,-4
2026-05-18T10:02:00,2026-05-18,3 Wood,229.3,233.5,68.3,12.6,2.7
2026-05-18T10:03:00,2026-05-18,3 Wood,218.9,225.1,68.4,11.3,-0.2
2026-05-18T10:04:00,2026-05-18,3 Wood,217.7,224.6,68.5,10.6,-3.7
2026-05-18T10:05:00,2026-05-18,3 Wood,207.8,213.1,67.9,12.7,-2.5
2026-05-18T10:00:00,2026-05-18,Iron 4,178.8,184.4,55.2,13.2,-3.7
2026-05-18T10:01:00,2026-05-18,Iron 4,179.3,185.4,55.7,14.4,4.3
2026-05-18T10:02:00,2026-05-18,Iron 4,177.7,180,56.1,14.7,3
2026-05-18T10:03:00,2026-05-18,Iron 4,182.4,186.8,55.5,14.3,3.7
2026-05-18T10:04:00,2026-05-18,Iron 4,178.5,184.8,54,13.5,1.8
2026-05-18T10:05:00,2026-05-18,Iron 4,168.6,180,55.7,14.8,-1.8
2026-05-18T10:00:00,2026-05-18,Iron 4,168.5,173.3,55,14.5,-0.1
2026-05-18T10:01:00,2026-05-18,Iron 4,174.3,180,55.3,14.2,1.6
2026-05-18T10:02:00,2026-05-18,Iron 4,172.5,178.2,55.9,15,0.2
2026-05-18T10:03:00,2026-05-18,Iron 4,181.9,189.4,55.1,13.5,-3
2026-05-18T10:04:00,2026-05-18,Iron 4,178.7,185.5,55.5,13.9,1.9
2026-05-18T10:05:00,2026-05-18,Iron 4,177.9,184,55.7,14.8,-0.4
2026-05-18T10:00:00,2026-05-18,Iron 4,180.3,187.6,56.1,13.3,4.4
2026-05-18T10:00:00,2026-05-18,Iron 5,161.4,166.2,54.5,15.6,-4.8
2026-05-18T10:01:00,2026-05-18,Iron 5,150.3,158.2,52.8,17.1,-0.2
2026-05-18T10:02:00,2026-05-18,Iron 5,150.2,154.9,53.9,18.2,2.7
2026-05-18T10:03:00,2026-05-18,Iron 5,155.4,159.5,53,16.6,-1
2026-05-18T10:04:00,2026-05-18,Iron 5,141.9,150.3,53.5,16.8,-2.2
2026-05-18T10:05:00,2026-05-18,Iron 5,150.7,154.5,54.1,16.7,2.8
2026-05-18T10:00:00,2026-05-18,Iron 5,155.7,159.3,54.5,16.1,0.5
2026-05-18T10:01:00,2026-05-18,Iron 5,153.8,159.1,52.1,18,-0.3
2026-05-18T10:02:00,2026-05-18,Iron 5,148.9,152.3,53.6,18.9,-1.9
2026-05-18T10:03:00,2026-05-18,Iron 5,143.6,145.7,53.2,19.3,1.6
2026-05-18T10:04:00,2026-05-18,Iron 5,165,168.5,55.6,17,-0.8
2026-05-18T10:05:00,2026-05-18,Iron 5,150.4,155.7,53.5,18,-1.8
2026-05-18T10:00:00,2026-05-18,Iron 5,149.8,153.2,54,17.3,-0.9
2026-05-18T10:01:00,2026-05-18,Iron 5,148.4,151.3,54.2,14.6,3
2026-05-18T10:02:00,2026-05-18,Iron 5,148,151.1,53.8,18.4,3.6
2026-05-18T10:03:00,2026-05-18,Iron 5,155.1,160.9,53.3,19.9,-1.8
2026-05-18T10:00:00,2026-05-18,Iron 6,156,159.9,52.5,14.2,-1.6
2026-05-18T10:01:00,2026-05-18,Iron 6,166.4,171.3,51.8,14.7,-1.3
2026-05-18T10:02:00,2026-05-18,Iron 6,160.8,166,52.3,14.8,-1.5
2026-05-18T10:03:00,2026-05-18,Iron 6,176,180.2,51.8,15.5,-1.3
2026-05-18T10:04:00,2026-05-18,Iron 6,163.8,168.6,51.7,16.6,1
2026-05-18T10:05:00,2026-05-18,Iron 6,160,166.5,52.5,16.5,-2.4
2026-05-18T10:00:00,2026-05-18,Iron 6,161.8,166.8,51.6,16.5,-2.4
2026-05-18T10:01:00,2026-05-18,Iron 6,156.9,162.8,52.5,16.2,-0.7
2026-05-18T10:02:00,2026-05-18,Iron 6,166,167.5,53,16.7,1.3
2026-05-18T10:03:00,2026-05-18,Iron 6,178.7,182.6,51.5,14.9,1.4
2026-05-18T10:04:00,2026-05-18,Iron 6,161.2,164.7,52.3,16,1.3
2026-05-18T10:05:00,2026-05-18,Iron 6,171.9,177.3,51.9,15,-0.5
2026-05-18T10:00:00,2026-05-18,Iron 6,156.5,164.7,52.5,16.3,-3.1
2026-05-18T10:01:00,2026-05-18,Iron 6,167.4,172.4,53,16.9,0.8
2026-05-18T10:02:00,2026-05-18,Iron 6,152.2,160.1,51.2,14.8,-0.1
2026-05-18T10:00:00,2026-05-18,Iron 7,150.3,153.3,51.2,16.5,-4.1
2026-05-18T10:01:00,2026-05-18,Iron 7,156.6,162.9,50.9,16.5,5.2
2026-05-18T10:02:00,2026-05-18,Iron 7,146.4,152.7,50.7,20.8,-1
2026-05-18T10:03:00,2026-05-18,Iron 7,144.6,148.3,51.7,17.9,3.2
2026-05-18T10:04:00,2026-05-18,Iron 7,153.3,157.1,50.6,16,0.2
2026-05-18T10:05:00,2026-05-18,Iron 7,158.6,165.6,51.7,18.5,1.5
2026-05-18T10:00:00,2026-05-18,Iron 7,158.8,163.9,51,18.7,-1
2026-05-18T10:01:00,2026-05-18,Iron 7,152.3,155.4,50.7,19.1,1
2026-05-18T10:02:00,2026-05-18,Iron 7,151.5,156.4,49.4,15.6,0.9
2026-05-18T10:03:00,2026-05-18,Iron 7,161.7,167.3,50.9,16.4,3.2
2026-05-18T10:04:00,2026-05-18,Iron 7,148.5,153.7,51,18.7,-0.9
2026-05-18T10:05:00,2026-05-18,Iron 7,150.5,155.6,51.5,18.4,1
2026-05-18T10:00:00,2026-05-18,Iron 7,152.6,157.8,50.8,17.3,0.1
2026-05-18T10:01:00,2026-05-18,Iron 7,144.7,151.2,50.5,18.5,1.7
2026-05-18T10:02:00,2026-05-18,Iron 7,153.1,159.5,49.8,19.3,0.3
2026-05-18T10:00:00,2026-05-18,Iron 8,140.7,147.6,47.5,18,1.4
2026-05-18T10:01:00,2026-05-18,Iron 8,134.4,140.8,49.1,18.7,2.7
2026-05-18T10:02:00,2026-05-18,Iron 8,143,144.5,49.2,18.9,2.6
2026-05-18T10:03:00,2026-05-18,Iron 8,131.9,137.9,48.5,20.3,-0.5
2026-05-18T10:04:00,2026-05-18,Iron 8,131,134.1,47.6,18.2,-1.1
2026-05-18T10:05:00,2026-05-18,Iron 8,138.3,143.8,47.7,20.4,-2.3
2026-05-18T10:00:00,2026-05-18,Iron 8,133.5,136.2,48.6,17.9,1.3
2026-05-18T10:01:00,2026-05-18,Iron 8,141.2,148.5,47.9,17.5,1
2026-05-18T10:02:00,2026-05-18,Iron 8,143.9,150.9,48.8,18.8,2.2
2026-05-18T10:03:00,2026-05-18,Iron 8,134,139.4,47.9,19.1,1
2026-05-18T10:04:00,2026-05-18,Iron 8,135.4,139.9,49.5,18.2,-1.7
2026-05-18T10:05:00,2026-05-18,Iron 8,135.4,142.3,48.3,17.7,2.8
2026-05-18T10:00:00,2026-05-18,Iron 9,129.8,134.2,46.4,20.6,1.4
2026-05-18T10:01:00,2026-05-18,Iron 9,120.7,125,46.8,21.1,-0.6
2026-05-18T10:02:00,2026-05-18,Iron 9,131.3,137,45.4,18.7,3.4
2026-05-18T10:03:00,2026-05-18,Iron 9,125.2,130.3,47.1,22,1.1
2026-05-18T10:04:00,2026-05-18,Iron 9,129,136.3,46.8,20.3,0.2
2026-05-18T10:05:00,2026-05-18,Iron 9,129.1,135.3,45.8,20.7,-1.3
2026-05-18T10:00:00,2026-05-18,Iron 9,119.7,125.4,46.9,22.1,-0.3
