Date,Club,Ball Speed,Club Speed (Estimated),Smash Factor (Estimated),Carry,Total,Launch Angle,Launch Direction,Spin Rate,Apex Height,Apex Time,Descent Angle,Shot Type
2026-05-18T10:00:00,DR,161.4,108.9,1.48,274.1,294.1,12.4,1.1,2222,118,7,45.1,Straight
2026-05-18T10:01:00,DR,161.9,110.7,1.46,259.5,281.5,12.5,-2.7,1764,99,6.5,41,Draw
2026-05-18T10:02:00,DR,163.4,109.8,1.49,261,284.6,12.6,-0.7,2215,103,6.6,43.5,Straight
2026-05-18T10:03:00,DR,160.4,111.7,1.44,266.6,284.9,13.3,1.1,2275,129,7.2,42.2,Straight
2026-05-18T10:04:00,DR,159.3,109.2,1.46,274.7,294.3,12.7,0.8,2789,97,6.4,44.8,Straight
2026-05-18T10:05:00,DR,161.2,108.9,1.48,276,297.6,15,0.9,1942,112,6.8,42.4,Straight
2026-05-18T10:00:00,DR,161.1,111.9,1.44,262.4,282.7,15,-0.2,2674,119,7,43.8,Straight
2026-05-18T10:01:00,DR,160.6,109.3,1.47,265.4,288.6,13.2,-1.8,2629,116,6.9,43.6,Draw
2026-05-18T10:02:00,DR,161.1,109.5,1.47,275.2,298.3,13.4,3.6,3066,114,6.9,45.3,Draw
2026-05-18T10:03:00,DR,161.7,108.8,1.49,266.4,287.8,10.9,-2.3,3197,116,6.9,41.7,Straight
2026-05-18T10:04:00,DR,161.2,108.3,1.49,250.5,273.2,12.2,3.3,2795,115,6.9,43.9,Fade
2026-05-18T10:05:00,DR,160.9,110.6,1.46,247.3,271.3,12.7,-2.2,2775,109,6.7,46.4,Straight
2026-05-18T10:00:00,DR,164.2,111.1,1.48,261.2,281.7,13.8,-2.5,3206,116,6.9,44.8,Straight
2026-05-18T10:01:00,DR,160.1,110.8,1.45,266.6,286.7,13.5,1.1,2403,106,6.7,47.2,Straight
2026-05-18T10:00:00,3W,149.9,102.9,1.46,235.6,240.1,10.8,0.5,3307,106,6.7,42.3,Straight
2026-05-18T10:01:00,3W,152.7,104,1.47,247.7,254.2,12.6,-4,3792,113,6.8,43.2,Straight
2026-05-18T10:02:00,3W,152.8,103.2,1.48,242.8,249.2,11.8,1.3,3668,106,6.7,43.8,Draw
2026-05-18T10:03:00,3W,151,104,1.45,243.9,247.2,12.4,2.6,3474,114,6.9,38.3,Straight
2026-05-18T10:04:00,3W,152.7,104.9,1.46,241.1,245.1,11.9,0.1,2609,111,6.8,41.2,Draw
2026-05-18T10:05:00,3W,149.2,104.6,1.43,238.7,242.5,12.5,0.4,3106,107,6.7,44.7,Draw
2026-05-18T10:00:00,3W,153.4,104.2,1.47,239.8,242.2,12.2,3,2519,114,6.9,39.3,Straight
2026-05-18T10:01:00,3W,150.5,103.2,1.46,236.6,243.3,11.3,-4.3,3847,113,6.8,42.4,Straight
2026-05-18T10:02:00,3W,150.9,102.3,1.47,251,257.6,11.7,0.5,3319,134,7.4,40.2,Draw
2026-05-18T10:03:00,3W,149.7,104,1.44,240.2,247.4,11.6,0.9,3104,105,6.6,41.7,Straight
2026-05-18T10:04:00,3W,153.2,103.6,1.48,239.1,244.3,11.3,1.1,2793,112,6.8,44.4,Straight
2026-05-18T10:05:00,3W,151.3,101.6,1.49,245.9,254,11,-3,3388,118,7,41.4,Draw
2026-05-18T10:00:00,4I,124.1,89.9,1.38,189.2,195.8,14,0.8,5226,112,6.8,45,Straight
2026-05-18T10:01:00,4I,122,89.8,1.36,190.8,194.3,13.8,0.3,5244,120,7,48.9,Straight
2026-05-18T10:02:00,4I,124.8,86.8,1.44,191.6,198.7,14.2,-0.3,4118,110,6.8,42,Draw
2026-05-18T10:03:00,4I,123.9,87.8,1.41,200.9,206.2,14.2,-2.1,4680,117,6.9,46.1,Draw
2026-05-18T10:04:00,4I,122.5,87.6,1.40,197,201.4,13.6,-1,4619,123,7.1,46,Straight
2026-05-18T10:05:00,4I,124.2,90.9,1.37,189,194.6,14.1,1.5,4509,134,7.4,45.8,Draw
