Date,Session,Club,Carry,Total,Ball Speed,Club Speed,Smash Factor,Launch Angle,Spin Rate,Spin Axis,Spin Loft,Launch Direction,Carry Side,Height,Landing Angle,Attack Angle,Club Path,Face Angle,Face to Path,Curve,Hang Time
2026-05-18T10:00:00,2026-05-18,DR,274.1,294.1,161.4,108.9,1.48,12.4,2222,-1.6,24.4,1.1,2,118,45.1,3,1.1,0.4,-0.7,2,7
2026-05-18T10:01:00,2026-05-18,DR,259.5,281.5,161.9,110.7,1.46,12.5,1764,4.1,24.5,-2.7,9.6,99,41,3,2.5,0.5,-2,9.6,6.5
2026-05-18T10:02:00,2026-05-18,DR,261,284.6,163.4,109.8,1.49,12.6,2215,1,24.6,-0.7,6.5,103,43.5,2.9,1.1,-0.8,-1.9,6.5,6.6
2026-05-18T10:03:00,2026-05-18,DR,266.6,284.9,160.4,111.7,1.44,13.3,2275,-1.6,25.3,1.1,2.3,129,42.2,2.1,1,-0.7,-1.7,2.3,7.2
2026-05-18T10:04:00,2026-05-18,DR,274.7,294.3,159.3,109.2,1.46,12.7,2789,-1.2,24.7,0.8,-0.1,97,44.8,3.3,0.3,0.8,0.5,-0.1,6.4
2026-05-18T10:05:00,2026-05-18,DR,276,297.6,161.2,108.9,1.48,15,1942,-1.3,27,0.9,3.5,112,42.4,2.4,1.9,2,0.1,3.5,6.8
2026-05-18T10:00:00,2026-05-18,DR,262.4,282.7,161.1,111.9,1.44,15,2674,0.3,27,-0.2,6.7,119,43.8,1.7,2.5,1.3,-1.2,6.7,7
2026-05-18T10:01:00,2026-05-18,DR,265.4,288.6,160.6,109.3,1.47,13.2,2629,2.7,25.2,-1.8,-9.5,116,43.6,2.6,2.5,-0.2,-2.7,-9.5,6.9
2026-05-18T10:02:00,2026-05-18,DR,275.2,298.3,161.1,109.5,1.47,13.4,3066,-5.4,25.4,3.6,-4.5,114,45.3,3.8,0.3,-1.9,-2.2,-4.5,6.9
2026-05-18T10:03:00,2026-05-18,DR,266.4,287.8,161.7,108.8,1.49,10.9,3197,3.5,22.9,-2.3,-5.4,116,41.7,0.2,2.5,2.4,-0.1,-5.4,6.9
2026-05-18T10:04:00,2026-05-18,DR,250.5,273.2,161.2,108.3,1.49,12.2,2795,-4.9,24.2,3.3,4.8,115,43.9,3.4,-1.3,1.3,2.6,4.8,6.9
2026-05-18T10:05:00,2026-05-18,DR,247.3,271.3,160.9,110.6,1.46,12.7,2775,3.3,24.7,-2.2,2.5,109,46.4,4,3.1,1.7,-1.4,2.5,6.7
2026-05-18T10:00:00,2026-05-18,DR,261.2,281.7,164.2,111.1,1.48,13.8,3206,3.8,25.8,-2.5,0.5,116,44.8,1.4,2.7,2.2,-0.5,0.5,6.9
2026-05-18T10:01:00,2026-05-18,DR,266.6,286.7,160.1,110.8,1.45,13.5,2403,-1.6,25.5,1.1,-3.4,106,47.2,2.3,-0.9,-0.7,0.2,-3.4,6.7
2026-05-18T10:00:00,2026-05-18,3W,235.6,240.1,149.9,102.9,1.46,10.8,3307,-0.7,22.8,0.5,1.6,106,42.3,-2.7,2.5,3.6,1.1,1.6,6.7
2026-05-18T10:01:00,2026-05-18,3W,247.7,254.2,152.7,104,1.47,12.6,3792,6,24.6,-4,-3,113,43.2,-2.4,2.2,1.2,-1,-3,6.8
2026-05-18T10:02:00,2026-05-18,3W,242.8,249.2,152.8,103.2,1.48,11.8,3668,-1.9,23.8,1.3,8.5,106,43.8,-4.7,4.5,1,-3.5,8.5,6.7
2026-05-18T10:03:00,2026-05-18,3W,243.9,247.2,151,104,1.45,12.4,3474,-3.9,24.4,2.6,-8.6,114,38.3,-4.4,0.1,-1,-1.1,-8.6,6.9
2026-05-18T10:04:00,2026-05-18,3W,241.1,245.1,152.7,104.9,1.46,11.9,2609,-0.2,23.9,0.1,-7.4,111,41.2,-4.8,1.7,-0.9,-2.6,-7.4,6.8
2026-05-18T10:05:00,2026-05-18,3W,238.7,242.5,149.2,104.6,1.43,12.5,3106,-0.6,24.5,0.4,2,107,44.7,-3.6,4.1,1.6,-2.5,2,6.7
2026-05-18T10:00:00,2026-05-18,3W,239.8,242.2,153.4,104.2,1.47,12.2,2519,-4.5,24.2,3,-0.9,114,39.3,-2.9,1.7,2.3,0.6,-0.9,6.9
2026-05-18T10:01:00,2026-05-18,3W,236.6,243.3,150.5,103.2,1.46,11.3,3847,6.5,23.3,-4.3,3.2,113,42.4,-5,1.8,1.1,-0.7,3.2,6.8
2026-05-18T10:02:00,2026-05-18,3W,251,257.6,150.9,102.3,1.47,11.7,3319,-0.7,23.7,0.5,-5.1,134,40.2,-1.8,2,-1.1,-3.1,-5.1,7.4
2026-05-18T10:03:00,2026-05-18,3W,240.2,247.4,149.7,104,1.44,11.6,3104,-1.3,23.6,0.9,-0.4,105,41.7,-3.7,1,0.2,-0.8,-0.4,6.6
2026-05-18T10:04:00,2026-05-18,3W,239.1,244.3,153.2,103.6,1.48,11.3,2793,-1.6,23.3,1.1,4.1,112,44.4,-3.9,1.6,0.2,-1.4,4.1,6.8
2026-05-18T10:05:00,2026-05-18,3W,245.9,254,151.3,101.6,1.49,11,3388,4.5,23,-3,2.7,118,41.4,-3.6,1.7,-0.4,-2.1,2.7,7
2026-05-18T10:00:00,2026-05-18,4I,189.2,195.8,124.1,89.9,1.38,14,5226,-1.2,26,0.8,-6.5,112,45,-3.7,1.6,1,-0.6,-6.5,6.8
2026-05-18T10:01:00,2026-05-18,4I,190.8,194.3,122,89.8,1.36,13.8,5244,-0.4,25.8,0.3,-4.2,120,48.9,-1.7,1.9,2.7,0.8,-4.2,7
2026-05-18T10:02:00,2026-05-18,4I,191.6,198.7,124.8,86.8,1.44,14.2,4118,0.5,26.2,-0.3,-14.4,110,42,-4.1,3,0.2,-2.8,-14.4,6.8
2026-05-18T10:03:00,2026-05-18,4I,200.9,206.2,123.9,87.8,1.41,14.2,4680,3.2,26.2,-2.1,1.8,117,46.1,-4.5,3.1,0.9,-2.2,1.8,6.9
2026-05-18T10:04:00,2026-05-18,4I,197,201.4,122.5,87.6,1.40,13.6,4619,1.5,25.6,-1,-7.4,123,46,-5.8,1.3,0.4,-0.9,-7.4,7.1
2026-05-18T10:05:00,2026-05-18,4I,189,194.6,124.2,90.9,1.37,14.1,4509,-2.2,26.1,1.5,-4.4,134,45.8,-4.8,2.1,-0.5,-2.6,-4.4,7.4
2026-05-18T10:00:00,2026-05-18,4I,196.1,199.2,121.9,89.9,1.36,14.8,5375,-0.6,26.8,0.4,0.7,104,45,-2.3,0.9,1,0.1,0.7,6.6
2026-05-18T10:01:00,2026-05-18,4I,183.1,190.7,125,89.6,1.40,14.4,4671,-1.8,26.4,1.2,-1,108,44.5,-2.7,2.5,2.2,-0.3,-1,6.7
2026-05-18T10:02:00,2026-05-18,4I,186.4,197.1,122.6,90.4,1.36,13,4744,-4.2,25,2.8,-4.2,126,44,-5.9,2.5,2.3,-0.2,-4.2,7.2
2026-05-18T10:03:00,2026-05-18,4I,207.5,211.3,128.4,87.8,1.46,14,5292,1.2,26,-0.8,-3.8,101,45.4,-4.3,1.2,-1,-2.2,-3.8,6.5
2026-05-18T10:04:00,2026-05-18,4I,195.7,201,122.3,88.9,1.38,14.3,4584,-1.8,26.3,1.2,5.6,124,48,-4.2,-1.9,-0.8,1.1,5.6,7.1
2026-05-18T10:05:00,2026-05-18,4I,194,194.3,124.9,88.3,1.41,14.4,5180,-5.8,26.4,3.9,-2.2,100,47.5,-3.5,2.9,-0.2,-3.1,-2.2,6.5
2026-05-18T10:00:00,2026-05-18,4I,188.5,194.4,121.6,90.1,1.35,13.2,4783,-0.2,25.2,0.1,10.7,117,43.5,-3.3,0.7,3.4,2.7,10.7,6.9
